"age_group","auc","coverage","AMG","AMG_4"
"<=5",0.88,0.6,0.425462177463826,0.511186513662216
"5-18",0.5,0.6,0.0367840269873165,0.107144060075801
"19-59",0.698924731182796,0.81150159744409,0.0981235230819438,0.156730961157032
"60-74",0.816666666666667,0.716535433070866,0.0644310966145828,0.121879797993854
"75+",0.53448275862069,0.580645161290323,0.0480311625573719,0.141648408342967
